Date,Open,High,Low,Close,Volume,Adj Close,Symbol
2016-04-14,169.00,169.00,167.880005,168.160004,1210900,168.160004,MMM
2016-04-13,168.470001,168.899994,167.710007,168.589996,1544600,168.589996,MMM
2016-04-12,167.009995,168.399994,166.929993,168.029999,1625300,168.029999,MMM
2016-04-11,167.119995,167.960007,166.570007,166.589996,1517100,166.589996,MMM
2016-04-08,167.710007,167.990005,166.100006,166.630005,1729300,166.630005,MMM
2016-04-07,165.880005,167.229996,165.25,167.160004,2721900,167.160004,MMM
2016-04-06,165.339996,167.080002,164.839996,166.809998,2092200,166.809998,MMM
2016-04-05,165.179993,166.550003,164.649994,165.809998,1610300,165.809998,MMM
2016-04-04,167.110001,167.490005,165.919998,166.399994,2022800,166.399994,MMM
2016-04-01,165.630005,167.740005,164.789993,167.529999,1993700,167.529999,MMM
2016-04-14,17.780001,17.959999,17.42,17.67,518900,17.67,WBAI
2016-04-13,17.200001,17.93,17.10,17.49,534300,17.49,WBAI
2016-04-12,16.280001,17.799999,16.280001,16.91,580500,16.91,WBAI
2016-04-11,16.24,16.309999,16.00,16.219999,163800,16.219999,WBAI
2016-04-08,16.00,16.219999,15.81,16.110001,95800,16.110001,WBAI
2016-04-07,16.200001,16.450001,15.90,16.01,182800,16.01,WBAI
2016-04-06,16.26,16.32,16.02,16.280001,114000,16.280001,WBAI
2016-04-05,16.370001,16.639999,16.049999,16.08,153100,16.08,WBAI
2016-04-04,16.450001,16.690001,16.18,16.379999,132200,16.379999,WBAI
2016-04-01,16.540001,16.66,16.25,16.57,203800,16.57,WBAI
2016-04-14,6.17,6.18,6.05,6.17,248400,6.17,ATEN
2016-04-13,5.90,6.21,5.86,6.19,430100,6.19,ATEN
2016-04-12,5.78,5.92,5.70,5.85,304800,5.85,ATEN
2016-04-11,5.76,5.86,5.61,5.79,273100,5.79,ATEN
2016-04-08,5.92,6.00,5.65,5.74,379200,5.74,ATEN
2016-04-07,6.01,6.03,5.86,5.87,251100,5.87,ATEN
2016-04-06,5.92,6.06,5.88,6.06,160000,6.06,ATEN
2016-04-05,5.94,5.99,5.90,5.91,154200,5.91,ATEN
2016-04-04,6.11,6.13,5.97,6.01,178700,6.01,ATEN
2016-04-01,5.87,6.14,5.87,6.13,256900,6.13,ATEN
2016-04-14,4.90,4.90,4.82,4.87,10800,4.87,AHC
2016-04-13,4.87,4.89,4.82,4.87,8200,4.87,AHC
2016-04-12,4.84,4.87,4.79,4.85,11600,4.85,AHC
2016-04-11,4.88,4.88,4.79,4.80,7400,4.80,AHC
2016-04-08,4.85,4.87,4.84,4.84,22200,4.84,AHC
2016-04-07,4.80,4.90,4.80,4.80,19000,4.80,AHC
2016-04-06,4.85,4.86,4.80,4.85,38800,4.85,AHC
2016-04-05,4.80,4.84,4.79,4.81,16700,4.81,AHC
2016-04-04,4.87,4.87,4.80,4.80,24300,4.80,AHC
2016-04-01,4.79,4.96,4.79,4.87,24900,4.87,AHC
2016-04-14,27.43,27.58,26.950001,26.98,441500,26.98,AAN
2016-04-13,26.950001,27.719999,26.90,27.469999,1197400,27.469999,AAN
2016-04-12,26.08,26.530001,25.969999,26.129999,578700,26.129999,AAN
2016-04-11,26.379999,26.790001,25.93,26.08,505700,26.08,AAN
2016-04-08,26.07,26.450001,25.83,26.34,576800,26.34,AAN
2016-04-07,25.83,26.299999,25.76,25.82,788900,25.82,AAN
2016-04-06,25.459999,26.219999,25.459999,25.940001,699700,25.940001,AAN
2016-04-05,26.09,26.09,25.34,25.379999,925500,25.379999,AAN
2016-04-04,25.290001,26.049999,25.030001,26.00,985100,26.00,AAN
2016-04-01,24.879999,25.379999,24.629999,25.35,439000,25.35,AAN
2016-04-14,19.870001,19.91,19.799999,19.85,905700,19.85,ABB
2016-04-13,19.77,19.790001,19.67,19.780001,1087000,19.780001,ABB
2016-04-12,19.540001,19.76,19.469999,19.709999,1522000,19.709999,ABB
2016-04-11,19.459999,19.57,19.389999,19.389999,1296400,19.389999,ABB
2016-04-08,19.24,19.459999,19.23,19.370001,1218600,19.370001,ABB
2016-04-07,19.040001,19.129999,18.93,18.98,1566800,18.98,ABB
2016-04-06,19.02,19.219999,18.959999,19.200001,2727100,19.200001,ABB
2016-04-05,19.049999,19.18,19.01,19.09,1675100,19.09,ABB
2016-04-04,19.540001,19.58,19.33,19.389999,1822400,19.389999,ABB
2016-04-01,19.02,19.290001,19.01,19.27,1691500,19.27,ABB
2016-04-14,58.049999,61.59,57.580002,60.790001,1554400,60.790001,WUBA
2016-04-13,57.75,59.939999,57.119999,58.09,1595700,58.09,WUBA
2016-04-12,56.91,57.299999,55.84,56.98,526600,56.98,WUBA
2016-04-11,57.959999,58.450001,56.799999,57.049999,536700,57.049999,WUBA
2016-04-08,56.290001,58.759998,56.290001,57.68,937100,57.68,WUBA
2016-04-07,55.959999,56.669998,55.009998,55.689999,388100,55.689999,WUBA
2016-04-06,55.00,56.610001,54.52,56.189999,616300,56.189999,WUBA
2016-04-05,55.860001,56.389999,54.509998,54.77,550700,54.77,WUBA
2016-04-04,55.09,57.02,54.82,56.599998,514100,56.599998,WUBA
2016-04-01,54.900002,55.43,54.57,54.889999,679800,54.889999,WUBA
2016-04-14,18.25,19.76,18.059999,18.280001,14467200,18.280001,DDD
2016-04-13,16.700001,16.870001,16.219999,16.60,3043800,16.60,DDD
2016-04-12,16.559999,16.65,16.00,16.629999,4017000,16.629999,DDD
2016-04-11,15.73,16.690001,15.71,16.49,3311100,16.49,DDD
2016-04-08,16.08,16.219999,15.39,15.78,3366000,15.78,DDD
2016-04-07,15.86,16.280001,15.77,16.02,2667200,16.02,DDD
2016-04-06,15.85,16.25,15.70,16.059999,2899200,16.059999,DDD
2016-04-05,15.69,16.139999,15.41,15.74,4154600,15.74,DDD
2016-04-04,15.12,15.92,14.93,15.82,4975500,15.82,DDD
2016-04-01,15.31,15.44,14.81,15.12,3533300,15.12,DDD
2016-04-14,24.16,24.74,24.129999,24.610001,270300,24.610001,AIR
2016-04-13,23.639999,24.23,23.52,24.15,307100,24.15,AIR
2016-04-12,23.299999,23.85,23.27,23.530001,78600,23.530001,AIR
2016-04-11,23.540001,23.82,23.32,23.32,149400,23.32,AIR
2016-04-08,23.48,23.940001,23.280001,23.440001,149900,23.440001,AIR
2016-04-07,23.07,23.49,23.059999,23.299999,386100,23.299999,AIR
2016-04-06,23.360001,23.42,22.98,23.27,162100,23.27,AIR
2016-04-05,23.17,23.51,22.99,23.25,232900,23.25,AIR
2016-04-04,23.360001,23.629999,23.209999,23.290001,194400,23.290001,AIR
2016-04-01,23.15,23.610001,22.92,23.389999,198700,23.389999,AIR
2016-04-14,19.15,20.01,18.85,19.870001,220300,19.870001,AAC
2016-04-13,18.50,19.77,18.50,19.530001,208200,19.530001,AAC
2016-04-12,18.25,18.642,17.695,18.440001,146800,18.440001,AAC
2016-04-11,18.719999,18.719999,17.870001,18.25,135400,18.25,AAC
2016-04-08,19.110001,19.370001,18.50,18.690001,302600,18.690001,AAC
2016-04-07,18.41,19.52,18.41,19.02,243600,19.02,AAC
2016-04-06,18.950001,19.040001,17.809999,18.57,292600,18.57,AAC
2016-04-05,19.92,20.27,18.01,18.469999,282200,18.469999,AAC
2016-04-04,20.969999,20.969999,19.639999,20.110001,202700,20.110001,AAC
2016-04-01,19.66,20.459999,19.281,20.370001,348400,20.370001,AAC
